"school","university"
"ΑΓΡΟΝΟΜΩΝ & ΤΟΠΟΓΡΑΦΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ)","ΕΜΠ"
"ΑΓΡΟΝΟΜΩΝ & ΤΟΠΟΓΡΑΦΩΝ ΜΗΧΑΝΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΟΡΕΣΤΙΑΔΑ)","ΔΠΘ"
"ΑΓΡΟΤΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ & ΑΝΑΠΤΥΞΗΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΑΞΙΟΠΟΙΗΣΗΣ ΦΥΣΙΚΩΝ ΠΟΡΩΝ ΚΑΙ ΓΕΩΡΓΙΚΗΣ ΜΗΧΑΝΙΚΗΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ(ΑΘΗΝΑ)","ΕΜΠ"
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΞΑΝΘΗ)","ΔΠΘ"
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΠΑΤΡΑ)","ΠΑΝ. ΠΑΤΡΩΝ"
"ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΧΑΝΙΑ)","ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ"
"ΒΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΒΙΟΛΟΓΙΑΣ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΒΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΒΙΟΛΟΓΙΑΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΒΙΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ & ΤΕΧΝΟΛΟΓΙΩΝ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΒΙΟΧΗΜΕΙΑΣ & ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ (ΛΑΡΙΣΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΓΕΩΓΡΑΦΙΑΣ (ΑΘΗΝΑ)","ΧΑΡΟΚΟΠΕΙΟ"
"ΓΕΩΓΡΑΦΙΑΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΓΕΩΛΟΓΙΑΣ & ΓΕΩΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΓΕΩΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΓΕΩΛΟΓΙΑΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΓΕΩΠΟΝΙΑΣ, ΙΧΘΥΟΛΟΓΙΑΣ ΚΑΙ ΥΔΑΤΙΝΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΓΕΩΠΟΝΙΑΣ, ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΑΓΡΟΤΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΔΑΣΟΛΟΓΙΑΣ & ΔΙΑΧΕΙΡΙΣΗΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ & ΦΥΣΙΚΩΝ ΠΟΡΩΝ (ΟΡΕΣΤΙΑΔΑ)","ΔΠΘ"
"ΔΑΣΟΛΟΓΙΑΣ & ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΔΙΑΧΕΙΡΙΣΗΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ & ΦΥΣΙΚΩΝ ΠΟΡΩΝ (ΑΓΡΙΝΙΟ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΕΠΙΣΤΗΜΗΣ & ΤΕΧΝΟΛΟΓΙΑΣ ΥΛΙΚΩΝ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΕΠΙΣΤΗΜΗΣ ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ & ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΩΝ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΕΠΙΣΤΗΜΗΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ ΤΟΥ ΑΝΘΡΩΠΟΥ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΕΠΙΣΤΗΜΗΣ ΤΩΝ ΥΛΙΚΩΝ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΕΠΙΣΤΗΜΗΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΚΟΜΟΤΗΝΗ)","ΔΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΣΕΡΡΕΣ)","ΑΠΘ"
"ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΤΡΙΚΑΛΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
