"school","university"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΜΑΤΙΚΗΣ (ΑΘΗΝΑ)","ΧΑΡΟΚΟΠΕΙΟ"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΤΡΙΠΟΛΗ)","ΠΑΝ.ΠΕΛ/ΝΗΣΟΥ"
"ΠΟΛΙΤΙΣΜΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ & ΕΠΙΚΟΙΝΩΝΙΑΣ (ΜΥΤΙΛΗΝΗ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΣΤΑΤΙΣΤΙΚΗΣ & ΑΣΦΑΛΙΣΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΠΕΙΡΑΙΑΣ)","ΠΑΝ.ΠΕΙΡΑΙΑ"
"ΣΤΑΤΙΣΤΙΚΗΣ (ΑΘΗΝΑ)","Ο.Π.Α."
"ΤΕΧΝΩΝ ΗΧΟΥ & ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
"ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ & ΤΡΑΠΕΖΙΚΗΣ ΔΙΟΙΚΗΤΙΚΗΣ (ΠΕΙΡΑΙΑΣ)","ΠΑΝ.ΠΕΙΡΑΙΑ"
"ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΠΕΙΡΑΙΑΣ)","ΠΑΝ.ΠΕΙΡΑΙΑ"
,
,
"ΣΤΡΑΤΙΩΤΙΚΕΣ ΣΧΟΛΕΣ",
"ΟΙΚΟΝΟΜΙΚΟ (ΣΣΑΣ) ΘΕΣ/ΝΙΚΗ            ","ΣΤΡΑΤ.ΣΧΟΛΕΣ"
,
"ΑΚΑΔΗΜΙΕΣ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ",
"ΣΧΟΛΗ ΜΗΧΑΝΙΚΩΝ    ","Α.Ε.Ν."
"ΣΧΟΛΗ ΠΛΟΙΑΡΧΩΝ      ","Α.Ε.Ν."
,
"ΑΣΤΥΝΟΜΙΚΕΣ ΣΧΟΛΕΣ",
"ΑΞΙΩΜΑΤΙΚΩΝ ΕΛΛΗΝΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ                               ","ΑΣΤ.ΣΧΟΛΕΣ"
"ΑΣΤΥΦΥΛΑΚΩΝ                                                                             ","ΑΣΤ.ΣΧΟΛΕΣ"
,
"ΣΧΟΛΕΣ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ",
"ΣΧΟΛΗ ΑΝΘΥΠΟΠΥΡΑΓΩΝ                ","Σ.Π.Α."
"ΣΧΟΛΗ ΠΥΡΟΣΒΕΣΤΩΝ                    ","Σ.Π.Α."
,
"ΤΕΙ",
"ΓΡΑΦΙΣΤΙΚΗΣ (ΑΘΗΝΑ) - ΓΡΑΦΙΣΤΙΚΗΣ","ΤΕΙ ΑΘΗΝΑΣ"
"ΓΡΑΦΙΣΤΙΚΗΣ (ΑΘΗΝΑ) - ΤΕΧΝΟΛΟΓΙΑΣ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΑΘΗΝΑ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΑΘΗΝΑ) - ΔΙΟΙΚΗΣΗ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ ΚΑΙ ΠΡΟΝΟΙΑΣ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΑΘΗΝΑ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΑΘΗΝΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΓΡΕΒΕΝΑ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΓΡΕΒΕΝΑ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΗΓΟΥΜΕΝΙΤΣΑ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΗΓΟΥΜΕΝΙΤΣΑ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΗΡΑΚΛΕΙΟ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΚΡΗΤΗΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΗΡΑΚΛΕΙΟ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΚΡΗΤΗΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΚΑΒΑΛΑ)","ΤΕΙ ΑΝ.ΜΑΚ.ΘΡΑΚΗΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΚΟΖΑΝΗ)","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΛΑΡΙΣΑ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΛΑΡΙΣΑ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΛΕΥΚΑΔΑ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΙΟΝΙΩΝ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΛΕΥΚΑΔΑ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΙΟΝΙΩΝ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΜΕΣΟΛΟΓΓΙ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΠΑΤΡΑ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΠΕΙΡΑΙΑΣ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ","ΤΕΙ ΠΕΙΡΑΙΑ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΠΕΙΡΑΙΑΣ) - ΔΙΟΙΚΗΣΗ ΤΟΥΡΙΣΤΙΚΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΦΙΛΟΞΕΝΙΑΣ","ΤΕΙ ΠΕΙΡΑΙΑ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΣΕΡΡΕΣ)","ΤΕΙ ΚΕΝΤΡ.ΜΑΚΕΔ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΟΡΓΑΝΙΣΜΩΝ (ΚΑΛΑΜΑΤΑ) - ΔΙΟΙΚΗΣΗ ΜΟΝΑΔΩΝ ΥΓΕΙΑΣ ΚΑΙ ΠΡΟΝΟΙΑΣ","ΤΕΙ ΠΕΛ/ΝΗΣΟΥ"
"ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΟΡΓΑΝΙΣΜΩΝ (ΚΑΛΑΜΑΤΑ) - ΤΟΠΙΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ","ΤΕΙ ΠΕΛ/ΝΗΣΟΥ"
"ΔΙΟΙΚΗΣΗΣ ΣΥΣΤΗΜΑΤΩΝ ΕΦΟΔΙΑΣΜΟΥ (ΘΗΒΑ)","ΤΕΙ ΣΤ.ΕΛΛΑΔΑΣ"
"ΔΙΟΙΚΗΣΗΣ ΣΥΣΤΗΜΑΤΩΝ ΕΦΟΔΙΑΣΜΟΥ (ΚΑΤΕΡΙΝΗ)","ΤΕΙ ΚΕΝΤΡ.ΜΑΚΕΔ"
"ΔΙΟΙΚΗΣΗΣ, ΟΙΚΟΝΟΜΙΑΣ & ΕΠΙΚΟΙΝΩΝΙΑΣ ΠΟΛΙΤΙΣΤΙΚΩΝ & ΤΟΥΡΙΣΤΙΚΩΝ ΜΟΝΑΔΩΝ (ΠΥΡΓΟΣ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΔΙΟΙΚΗΣΗΣ, ΟΙΚΟΝΟΜΙΑΣ & ΕΠΙΚΟΙΝΩΝΙΑΣ ΠΟΛΙΤΙΣΤΙΚΩΝ & ΤΟΥΡΙΣΤΙΚΩΝ ΜΟΝΑΔΩΝ(ΑΜΦΙΣΣΑ)","ΤΕΙ ΣΤ.ΕΛΛΑΔΑΣ"
"ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ, ΔΙΑΚΟΣΜΗΣΗΣ ΚΑΙ ΣΧΕΔΙΑΣΜΟΥ ΑΝΤΙΚΕΙΜΕΝΩΝ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΚΛΩΣΤΟΫΦΑΝΤΟΥΡΓΩΝ ΜΗΧΑΝΙΚΩΝ ΤΕ (ΠΕΙΡΑΙΑΣ)","ΤΕΙ ΠΕΙΡΑΙΑ"
"ΛΑΙΚΗΣ & ΠΑΡΑΔΟΣΙΑΚΗΣ ΜΟΥΣΙΚΗΣ (ΑΡΤΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΗΡΑΚΛΕΙΟ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΚΑΒΑΛΑ)","ΤΕΙ ΑΝ.ΜΑΚ.ΘΡΑΚΗΣ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΚΑΛΑΜΑΤΑ)","ΤΕΙ ΠΕΛ/ΝΗΣΟΥ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΚΟΖΑΝΗ)","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΛΑΡΙΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΜΕΣΟΛΟΓΓΙ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΠΕΙΡΑΙΑΣ)","ΤΕΙ ΠΕΙΡΑΙΑ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΠΡΕΒΕΖΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΣΕΡΡΕΣ)","ΤΕΙ ΚΕΝΤΡ.ΜΑΚΕΔ"
"ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΧΑΛΚΙΔΑ)","ΤΕΙ ΣΤ.ΕΛΛΑΔΑΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΑΡΤΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΗΡΑΚΛΕΙΟ)","ΤΕΙ ΚΡΗΤΗΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΚΑΒΑΛΑ)","ΤΕΙ ΑΝ.ΜΑΚ.ΘΡΑΚΗΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΚΑΣΤΟΡΙΑ)","ΤΕΙ ΔΥΤ.ΜΑΚ."
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΛΑΜΙΑ)","ΤΕΙ ΣΤ. ΕΛΛΑΔΑΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΛΑΡΙΣΑ)","ΤΕΙ ΘΕΣΣΑΛΙΑΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΝΑΥΠΑΚΤΟΣ)","ΤΕΙ ΔΥΤ.ΕΛΛΑΔΑΣ"
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΕ (ΣΕΡΡΕΣ)","ΤΕΙ ΚΕΝΤΡ.ΜΑΚΕΔ"
