"school","university"
"ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΟΔΟΣ)","ΠΑΝ.ΑΙΓΑΙΟΥ"
"ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΦΛΩΡΙΝΑ)","ΠΑΝ. ΔΥΤ.ΜΑΚ."
"ΠΑΙΔΑΓΩΓΙΚΟ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΠΑΙΔΑΓΩΓΙΚΟ ΝΗΠΙΑΓΩΓΩΝ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΠΑΙΔΑΓΩΓΙΚΟ ΝΗΠΙΑΓΩΓΩΝ (ΦΛΩΡΙΝΑ)","ΠΑΝ. ΔΥΤ.ΜΑΚ."
"ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΤΕΧΝΩΝ ΗΧΟΥ & ΕΙΚΟΝΑΣ (ΚΕΡΚΥΡΑ)","ΙΟΝΙΟ ΠΑΝ/ΜΙΟ"
,
"ΤΕΙ","  "
"ΛΑΙΚΗΣ & ΠΑΡΑΔΟΣΙΑΚΗΣ ΜΟΥΣΙΚΗΣ (ΑΡΤΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
"ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ (ΑΘΗΝΑ)","ΤΕΙ ΑΘΗΝΑΣ"
"ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΤΕΙ ΘΕΣ/ΝΙΚΗΣ"
"ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ (ΙΩΑΝΝΙΝΑ)","ΤΕΙ ΗΠΕΙΡΟΥ"
